timestamp,sim_time,active_targets,interceptors,system_load
2026-04-04T18:28:26.358938,1.0,0,0,0.0
2026-04-04T18:28:26.860696,2.0,0,0,0.0
2026-04-04T18:28:27.362665,3.0,0,0,0.0
2026-04-04T18:28:27.863960,4.0,0,0,0.0
2026-04-04T18:28:28.365366,5.0,0,0,0.0
2026-04-04T18:28:28.866941,6.0,0,0,0.0
2026-04-04T18:28:29.367306,7.0,0,0,0.0
2026-04-04T18:28:29.870852,8.0,0,0,0.0
2026-04-04T18:28:30.372187,9.0,0,0,0.0
2026-04-04T18:28:30.873517,10.0,0,0,0.0
2026-04-04T18:28:31.375084,11.0,0,0,0.0
2026-04-04T18:28:31.876340,12.0,0,0,0.0
2026-04-04T18:28:32.377695,13.0,0,0,0.0
2026-04-04T18:28:32.878950,14.0,0,0,0.0
2026-04-04T18:28:33.380795,15.0,0,0,0.0
2026-04-04T18:28:33.881181,16.0,0,0,0.0
2026-04-04T18:28:34.384852,17.0,0,0,0.0
2026-04-04T18:28:34.887058,18.0,0,0,0.0
2026-04-04T18:28:35.387539,19.0,0,0,0.0
2026-04-04T18:28:35.889739,20.0,0,0,0.0
2026-04-04T18:28:36.391123,21.0,0,0,0.0
2026-04-04T18:28:36.893805,22.0,0,0,0.0
2026-04-04T18:28:37.395078,23.0,0,0,0.0
2026-04-04T18:28:37.896514,24.0,0,0,0.0
2026-04-04T18:28:38.396829,25.0,0,0,0.0
2026-04-04T18:28:38.898645,26.0,0,0,0.0
2026-04-04T18:28:39.401201,27.0,0,0,0.0
2026-04-04T18:28:39.903277,28.0,0,0,0.0
2026-04-04T18:28:40.404860,29.0,0,0,0.0
2026-04-04T18:28:40.906310,30.0,0,0,0.0
2026-04-04T18:28:41.407685,31.0,0,0,0.0
2026-04-04T18:28:41.909640,32.0,0,0,0.0
2026-04-04T18:28:42.410020,33.0,0,0,0.0
2026-04-04T18:28:42.912770,34.0,0,0,0.0
2026-04-04T18:28:43.414828,35.0,0,0,0.0
2026-04-04T18:28:43.917123,36.0,0,0,0.0
2026-04-04T18:28:44.419439,37.0,0,0,0.0
2026-04-04T18:28:44.921157,38.0,0,0,0.0
2026-04-04T18:28:45.421486,39.0,0,0,0.0
2026-04-04T18:28:45.924150,40.0,0,0,0.0
2026-04-04T18:28:46.425498,41.0,0,0,0.0
2026-04-04T18:28:46.926860,42.0,0,0,0.0
2026-04-04T18:28:47.428197,43.0,0,0,0.0
2026-04-04T18:28:47.929914,44.0,0,0,0.0
2026-04-04T18:28:48.431361,45.0,0,0,0.0
2026-04-04T18:28:48.933701,46.0,0,0,0.0
