timestamp,sim_time,active_targets,interceptors,system_load
2026-04-04T18:28:03.511012,1.0,0,0,0.0
2026-04-04T18:28:04.012208,2.0,0,0,0.0
2026-04-04T18:28:04.513471,3.0,0,0,0.0
2026-04-04T18:28:05.014787,4.0,0,0,0.0
2026-04-04T18:28:05.516985,5.0,0,0,0.0
2026-04-04T18:28:06.019011,6.0,0,0,0.0
2026-04-04T18:28:06.521022,7.0,0,0,0.0
2026-04-04T18:28:07.023069,8.0,0,0,0.0
2026-04-04T18:28:07.524519,9.0,0,0,0.0
2026-04-04T18:28:08.025765,10.0,0,0,0.0
2026-04-04T18:28:08.527019,11.0,0,0,0.0
2026-04-04T18:28:09.028494,12.0,0,0,0.0
2026-04-04T18:28:09.528799,13.0,0,0,0.0
2026-04-04T18:28:10.030101,14.0,0,0,0.0
2026-04-04T18:28:10.531607,15.0,0,0,0.0
2026-04-04T18:28:11.034602,16.0,0,0,0.0
2026-04-04T18:28:11.536306,17.0,0,0,0.0
2026-04-04T18:28:12.037867,18.0,0,0,0.0
2026-04-04T18:28:12.539572,19.0,0,0,0.0
2026-04-04T18:28:13.039911,20.0,0,0,0.0
2026-04-04T18:28:13.543135,21.0,0,0,0.0
2026-04-04T18:28:14.044739,22.0,0,0,0.0
2026-04-04T18:28:14.546753,23.0,0,0,0.0
2026-04-04T18:28:15.047168,24.0,0,0,0.0
2026-04-04T18:28:15.548754,25.0,0,0,0.0
2026-04-04T18:28:16.050546,26.0,0,0,0.0
2026-04-04T18:28:16.554158,27.0,0,0,0.0
2026-04-04T18:28:17.055615,28.0,0,0,0.0
2026-04-04T18:28:17.555983,29.0,0,0,0.0
2026-04-04T18:28:18.058991,30.0,0,0,0.0
2026-04-04T18:28:18.560754,31.0,0,0,0.0
2026-04-04T18:28:19.062010,32.0,0,0,0.0
2026-04-04T18:28:19.563278,33.0,0,0,0.0
2026-04-04T18:28:20.064775,34.0,0,0,0.0
2026-04-04T18:28:20.566255,35.0,0,0,0.0
2026-04-04T18:28:21.069832,36.0,0,0,0.0
2026-04-04T18:28:21.572053,37.0,0,0,0.0
2026-04-04T18:28:22.072373,38.0,0,0,0.0
2026-04-04T18:28:22.573992,39.0,0,0,0.0
2026-04-04T18:28:23.075630,40.0,0,0,0.0
2026-04-04T18:28:23.576990,41.0,0,0,0.0
2026-04-04T18:28:24.078407,42.0,0,0,0.0
2026-04-04T18:28:24.581599,43.0,0,0,0.0
2026-04-04T18:28:25.082906,44.0,0,0,0.0
2026-04-04T18:28:25.583399,45.0,0,0,0.0
2026-04-04T18:28:26.085308,46.0,0,0,0.0
2026-04-04T18:28:26.588442,47.0,0,0,0.0
2026-04-04T18:28:27.088740,48.0,0,0,0.0
2026-04-04T18:28:27.591523,49.0,0,0,0.0
